ID,Participant,Accent,Comprehensibility,Intelligibility
1,7,ChinEng,3,0.83
2,10,ChinEng,5,0.90
3,13,ChinEng,3,0.87
4,15,ChinEng,2,0.77
5,18,ChinEng,3,0.87
6,21,ChinEng,1,0.83
7,22,ChinEng,5,0.90
8,31,ChinEng,4,0.87
9,33,ChinEng,7,0.93
10,34,ChinEng,3,0.63
11,35,ChinEng,5,0.87
12,36,ChinEng,2,0.90
13,38,ChinEng,3,0.83
14,39,ChinEng,3,0.90
15,40,ChinEng,2,0.73
16,44,ChinEng,3,0.93
17,46,ChinEng,4,0.87
18,48,ChinEng,1,0.87
19,50,ChinEng,1,0.90
20,54,ChinEng,3,0.83
21,56,ChinEng,3,0.90
22,58,ChinEng,4,0.83
23,59,ChinEng,1,0.93
24,61,ChinEng,3,0.87
25,62,ChinEng,3,0.90
26,65,ChinEng,4,0.90
27,66,ChinEng,3,0.83
28,67,ChinEng,3,0.90
29,70,ChinEng,2,0.73
30,71,ChinEng,5,0.90
31,72,ChinEng,5,0.87
32,73,ChinEng,5,0.83
33,75,ChinEng,5,0.93
34,7,GAE,1,0.83
35,10,GAE,1,0.98
36,13,GAE,1,0.98
37,15,GAE,1,1.00
38,18,GAE,1,0.81
39,21,GAE,1,0.90
40,22,GAE,1,0.93
41,31,GAE,1,0.98
42,33,GAE,2,1.00
43,34,GAE,1,0.93
44,35,GAE,1,0.95
45,36,GAE,1,0.98
46,38,GAE,1,0.95
47,39,GAE,1,0.95
48,40,GAE,1,0.98
49,44,GAE,1,0.93
50,46,GAE,1,0.88
51,48,GAE,1,1.00
52,50,GAE,1,0.98
53,54,GAE,1,1.00
54,56,GAE,2,0.95
55,58,GAE,2,0.98
56,59,GAE,1,0.88
57,61,GAE,1,1.00
58,62,GAE,1,0.98
59,65,GAE,1,1.00
60,66,GAE,1,0.90
61,67,GAE,1,0.98
62,70,GAE,1,0.93
63,71,GAE,1,1.00
64,72,GAE,1,1.00
65,73,GAE,2,0.98
66,75,GAE,1,0.90
67,7,GBE,5,0.71
68,10,GBE,3,0.78
69,13,GBE,1,0.88
70,15,GBE,1,0.86
71,18,GBE,2,0.76
72,21,GBE,2,0.84
73,22,GBE,2,0.88
74,31,GBE,1,0.86
75,33,GBE,3,0.90
76,34,GBE,2,0.88
77,35,GBE,2,0.92
78,36,GBE,2,0.84
79,38,GBE,2,0.84
80,39,GBE,1,0.96
81,40,GBE,1,0.88
82,44,GBE,2,0.76
83,46,GBE,3,0.78
84,48,GBE,1,0.88
85,50,GBE,1,0.88
86,54,GBE,2,0.92
87,56,GBE,1,0.84
88,58,GBE,2,0.88
89,59,GBE,4,0.76
90,61,GBE,2,0.84
91,62,GBE,2,0.94
92,65,GBE,2,0.90
93,66,GBE,2,0.84
94,67,GBE,2,0.88
95,70,GBE,2,0.61
96,71,GBE,2,0.82
97,72,GBE,2,0.88
98,73,GBE,3,0.80
99,75,GBE,2,0.88
100,7,IndEng,3,0.69
101,10,IndEng,7,0.69
102,13,IndEng,2,0.71
103,15,IndEng,2,0.95
104,18,IndEng,3,0.86
105,21,IndEng,2,0.67
106,22,IndEng,3,0.64
107,31,IndEng,4,0.90
108,33,IndEng,6,0.88
109,34,IndEng,2,0.62
110,35,IndEng,3,0.90
111,36,IndEng,2,0.79
112,38,IndEng,5,0.69
113,39,IndEng,3,0.98
114,40,IndEng,3,0.71
115,44,IndEng,2,0.74
116,46,IndEng,7,0.79
117,48,IndEng,4,0.76
118,50,IndEng,3,0.88
119,54,IndEng,4,0.76
120,56,IndEng,4,0.88
121,58,IndEng,5,0.81
122,59,IndEng,2,0.79
123,61,IndEng,2,0.90
124,62,IndEng,5,0.79
125,65,IndEng,3,0.81
126,66,IndEng,4,0.79
127,67,IndEng,2,0.83
128,70,IndEng,2,0.50
129,71,IndEng,4,0.93
130,72,IndEng,3,0.95
131,73,IndEng,5,0.81
132,75,IndEng,8,0.86
133,7,NBE,4,0.77
