ID,Participant,Accent,Sentence,Item,Stimulus,Response,Word_Type,Accuracy,Error_Type,Familiarity,,,
1,7,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
2,7,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
3,7,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
4,7,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
5,7,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
6,7,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
7,10,ChinEng,31,258,My,my,Function,TRUE,,Never,,,
8,10,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
9,10,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
10,10,ChinEng,31,261,a,X,Function,FALSE,Omission_FW,Never,,,
11,10,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
12,10,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
13,13,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
14,13,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
15,13,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
16,13,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
17,13,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
18,13,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
19,15,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
20,15,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
21,15,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
22,15,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
23,15,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
24,15,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
25,18,ChinEng,31,258,My,my,Function,TRUE,,Never,,,
26,18,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
27,18,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
28,18,ChinEng,31,261,a,X,Function,FALSE,Omission_FW,Never,,,
29,18,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
30,18,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
31,21,ChinEng,31,258,My,my,Function,TRUE,,Often,,,
32,21,ChinEng,31,259,friend,friend,Content,TRUE,,Often,,,
33,21,ChinEng,31,260,is,is,Function,TRUE,,Often,,,
34,21,ChinEng,31,261,a,a,Function,TRUE,,Often,,,
35,21,ChinEng,31,262,documentary,documentary,Content,TRUE,,Often,,,
36,21,ChinEng,31,263,director,director,Content,TRUE,,Often,,,
37,22,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
38,22,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
39,22,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
40,22,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
41,22,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
42,22,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
43,31,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
44,31,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
45,31,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
46,31,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
47,31,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
48,31,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
49,33,ChinEng,31,258,My,my,Function,TRUE,,Never,,,
50,33,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
51,33,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
52,33,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
53,33,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
54,33,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
55,34,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
56,34,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
57,34,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
58,34,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
59,34,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
60,34,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
61,35,ChinEng,31,258,My,My,Function,TRUE,,Never,,,
62,35,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
63,35,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
64,35,ChinEng,31,261,a,a,Function,TRUE,,Never,,,
65,35,ChinEng,31,262,documentary,documentary,Content,TRUE,,Never,,,
66,35,ChinEng,31,263,director,director,Content,TRUE,,Never,,,
67,36,ChinEng,31,258,My,my,Function,TRUE,,Rarely,,,
68,36,ChinEng,31,259,friend,friend,Content,TRUE,,Rarely,,,
69,36,ChinEng,31,260,is,is,Function,TRUE,,Rarely,,,
70,36,ChinEng,31,261,a,a,Function,TRUE,,Rarely,,,
71,36,ChinEng,31,262,documentary,documentary,Content,TRUE,,Rarely,,,
72,36,ChinEng,31,263,director,director,Content,TRUE,,Rarely,,,
73,38,ChinEng,31,258,My,my,Function,TRUE,,Never,,,
74,38,ChinEng,31,259,friend,friend,Content,TRUE,,Never,,,
75,38,ChinEng,31,260,is,is,Function,TRUE,,Never,,,
76,38,ChinEng,31,261,a,X,Function,FALSE,Omission_FW,Never,,,
