ID,Participant,Accent,Participant_Response,Certainty,Familiarity
1,1,General British English,General British English,5,9
2,2,General British English,General British English,5,9
3,3,General British English,General British English,5,9
4,4,General British English,General British English,5,9
5,5,General British English,General British English,5,9
6,6,General British English,General British English,4,9
7,7,General British English,General British English,5,8
8,8,General British English,General British English,5,9
9,9,General British English,General British English,5,9
10,10,General British English,General British English,4,9
11,11,General British English,General British English,5,9
12,12,General British English,General British English,5,9
13,13,General British English,General British English,5,9
14,14,General British English,General British English,5,9
15,15,General British English,General British English,5,9
16,16,General British English,General British English,5,9
17,17,General British English,General British English,5,9
18,18,General British English,General British English,5,9
19,19,General British English,General British English,4,8
20,20,General British English,General British English,5,9
21,1,General American English,General American English,5,9
22,2,General American English,General American English,5,8
23,3,General American English,General American English,5,9
24,4,General American English,General American English,3,7
25,5,General American English,General American English,4,6
26,6,General American English,Australian English,3,7
27,7,General American English,General American English,4,7
28,8,General American English,General American English,5,9
29,9,General American English,General American English,4,7
30,10,General American English,General American English,4,8
31,11,General American English,General American English,5,8
32,12,General American English,General American English,5,9
33,13,General American English,General American English,5,9
34,14,General American English,General American English,5,9
35,15,General American English,General American English,5,9
36,16,General American English,General American English,5,8
37,17,General American English,General American English,5,9
38,18,General American English,General American English,3,6
39,19,General American English,General American English,5,9
40,20,General American English,General American English,5,8
41,1,Newcastle English,Newcastle English,5,7
42,2,Newcastle English,Newcastle English,5,8
43,3,Newcastle English,Newcastle English,5,9
44,4,Newcastle English,Newcastle English,5,7
45,5,Newcastle English,Newcastle English,5,5
46,6,Newcastle English,General British English,4,6
47,7,Newcastle English,Newcastle English,4,3
48,8,Newcastle English,Newcastle English,5,8
49,9,Newcastle English,Newcastle English,5,6
50,10,Newcastle English,Newcastle English,5,7
51,11,Newcastle English,Newcastle English,4,8
52,12,Newcastle English,Newcastle English,5,9
53,13,Newcastle English,Newcastle English,4,7
54,14,Newcastle English,Newcastle English,5,9
55,15,Newcastle English,General British English,4,6
56,16,Newcastle English,Newcastle English,5,9
57,17,Newcastle English,Newcastle English,5,7
58,18,Newcastle English,Newcastle English,4,6
59,19,Newcastle English,General British English,3,2
60,20,Newcastle English,Newcastle English,5,8
61,1,Texan English,Texan English,5,8
62,2,Texan English,Texan English,5,7
63,3,Texan English,Texan English,5,9
64,4,Texan English,Texan English,5,4
65,5,Texan English,Texan English,5,6
66,6,Texan English,Texan English,5,6
67,7,Texan English,Texan English,5,9
68,8,Texan English,Texan English,5,8
69,9,Texan English,Texan English,3,3
70,10,Texan English,Texan English,4,7
71,11,Texan English,Texan English,5,4
72,12,Texan English,Texan English,4,7
73,13,Texan English,Texan English,5,5
74,14,Texan English,Texan English,5,8
75,15,Texan English,Texan English,5,9
76,16,Texan English,Texan English,5,6
77,17,Texan English,Texan English,4,6
78,18,Texan English,Texan English,4,3
79,19,Texan English,Texan English,5,7
80,20,Texan English,Texan English,5,7
81,1,Indian English,Indian English,5,9
82,2,Indian English,Indian English,5,7
83,3,Indian English,Indian English,5,9
84,4,Indian English,Indian English,5,6
85,5,Indian English,Indian English,5,6
86,6,Indian English,Indian English,4,6
87,7,Indian English,Indian English,5,9
88,8,Indian English,Indian English,5,8
89,9,Indian English,Indian English,3,5
90,10,Indian English,Indian English,4,6
91,11,Indian English,Indian English,5,6
92,12,Indian English,Indian English,4,6
93,13,Indian English,Indian English,5,3
94,14,Indian English,Indian English,4,7
95,15,Indian English,Indian English,4,8
96,16,Indian English,Indian English,5,6
97,17,Indian English,Indian English,5,8
98,18,Indian English,Indian English,4,5
99,19,Indian English,Indian English,3,5
100,20,Indian English,Indian English,5,7
101,1,Nigerian English,Nigerian English,5,5
102,2,Nigerian English,Nigerian English,5,6
103,3,Nigerian English,Nigerian English,5,6
104,4,Nigerian English,Nigerian English,5,4
105,5,Nigerian English,Nigerian English,5,6
106,6,Nigerian English,Nigerian English,4,5
